Stock,LIMIT_UP_PRICE,LIMIT_UP_TIME,BREAK_LIMIT_UP_TIME,Date,Ticker
002406.SZ,6.74,2022-05-26 09:30:10.850,2022-05-26 09:30:15.960,20220526,128075.SZ
002973.SZ,15.29,2022-05-26 09:34:58.280,2022-05-26 09:35:31.700,20220526,128138.SZ
002965.SZ,25.29,2022-05-27 13:13:04.650,2022-05-27 15:00:00.000,20220527,128139.SZ
002758.SZ,13.97,2022-05-30 13:49:04.010,2022-05-30 15:00:00.000,20220530,128040.SZ
300651.SZ,38.04,2022-05-30 13:23:02.240,2022-05-30 13:25:17.210,20220530,123093.SZ
002568.SZ,35.48,2022-05-31 10:31:19.830,2022-05-31 15:00:00.000,20220531,127046.SZ
002798.SZ,10.46,2022-05-31 10:26:20.060,2022-05-31 10:26:50.460,20220531,127047.SZ
000665.SZ,10.09,2022-06-01 13:13:21.100,2022-06-01 13:23:32.110,20220601,127007.SZ
002859.SZ,25.87,2022-06-01 09:57:11.680,2022-06-01 10:01:16.730,20220601,128137.SZ
002895.SZ,35.56,2022-06-01 09:50:41.300,2022-06-01 09:59:40.780,20220601,127043.SZ
002918.SZ,14.62,2022-06-01 13:16:34.040,2022-06-01 15:00:00.000,20220601,127044.SZ
002806.SZ,11.85,2022-06-02 11:21:10.060,2022-06-02 15:00:00.000,20220602,128082.SZ
002738.SZ,76.96,2022-06-06 09:49:19.750,2022-06-06 10:01:49.180,20220606,128111.SZ
002806.SZ,13.04,2022-06-06 09:30:00.000,2022-06-06 10:54:28.500,20220606,128082.SZ
002988.SZ,14.11,2022-06-06 10:55:10.560,2022-06-06 11:10:19.490,20220606,127053.SZ
000065.SZ,9.1,2022-06-07 09:50:11.070,2022-06-07 09:51:58.070,20220607,127014.SZ
000810.SZ,17.08,2022-06-07 11:25:09.610,2022-06-07 11:25:13.230,20220607,127013.SZ
002284.SZ,8.87,2022-06-07 14:38:57.040,2022-06-07 15:00:00.000,20220607,128023.SZ
002325.SZ,2.5,2022-06-07 09:42:48.350,2022-06-07 09:43:02.270,20220607,128013.SZ
002864.SZ,37.86,2022-06-07 13:21:57.520,2022-06-07 15:00:00.000,20220607,127057.SZ
002873.SZ,16.44,2022-06-07 10:14:33.490,2022-06-07 11:29:49.630,20220607,128091.SZ
002284.SZ,9.76,2022-06-08 09:25:00.000,2022-06-08 11:20:34.890,20220608,128023.SZ
002838.SZ,18.64,2022-06-08 09:59:40.760,2022-06-08 10:41:08.090,20220608,128117.SZ
002873.SZ,18.1,2022-06-08 09:33:00.750,2022-06-08 09:33:22.650,20220608,128091.SZ
002061.SZ,7.25,2022-06-09 13:32:57.180,2022-06-09 15:00:00.000,20220609,128107.SZ
002840.SZ,14.73,2022-06-09 14:42:44.530,2022-06-09 15:00:00.000,20220609,128106.SZ
000301.SZ,17.42,2022-06-10 11:08:39.540,2022-06-10 15:00:00.000,20220610,127030.SZ
002049.SZ,202.4,2022-06-10 13:54:41.690,2022-06-10 13:55:04.120,20220610,127038.SZ
